CountryID,CountryName,Region,IncomeLevel,ECIID,Year,FDINet,FDIInflowstoGDP,FDIInflows,FDIOutflowsPercent,FDIOutflows,GDP,GDPGrowth,GovernmentSpending,GrossNationalSpending,InflationConsumerPrices,InflationRate,InflationPercent,MilitarySpending,GoodsNetTrade,GoodsandServicesNetTrade,TradePercent,ServicesTradedPercent,ElectricityAccess,AgriculturalCarbonDioxide,TransportCarbonDioxide,WasteCarbonDioxide,ForestArea,RenewableEnergyConsumption,TotalGreenhouseGas,LongTermExternalDebt,TotalPSD,LongTermPSD,ShortTermPSD,InterestPaymentsPercent,ExternalDebt,TotalDebt,FemaleLifeExpectancy,MaleLifeExpectancy,TotalLifeExpectancy,AdultLiteracyRate,YouthLiteracyRate,BasicDrinkingWater,SafelyManagedDrinkingWater,BasicHandwashing,PovertyRatio,NationalPovertyRatio,SocialPovertyRatio,UnemploymentwithAdvancedEducation,UnemploymentwithBasicEducation,UnemploymentWithintermediateEducation,TotalUnemployment,YouthUnemployment,ExchangeRate
MAR,Morocco,Middle East & North Africa,Lower middle income,ECI-MAR-2023,2023,-260042951.6,0.758899868,1095981206,0.578836049,835938254.4,144417000000,3.403341301,26148496308,156385000000,6.091141525,6.360948882,6.360948882,5184928400,-25112417350,-12012711189,93.79140306,26.17557992,,0.1669,17.3964,,,,2.82670695,55330533879,,,,,44352528457,4.07,,,,,,,,,,,,,,,,,10.1314261
ABW,Aruba,Latin America & Caribbean,High income,ECI-ABW-2023,2023,,2.506331286,91445330,2.506331286,91445330,3648573136,4.263719415,713751151,3397212355,,6.709461177,6.709461177,,,,169.7982829,,,,0.1864,,,,5.23011578,,,,,,,,,,,,,,,,,,,,,,,,1.79
AFG,Afghanistan,South Asia,Low income,ECI-AFG-2023,2023,,,,,,17233051620,2.710886791,3651720075,23052954246,,2.961653541,2.961653541,,,,67.27334328,,,0.0151,2.3412,,,,0.710656612,1874433293,,,,,2846973317,0.25,,,,,,,,,,,,,,,,,
AGO,Angola,Sub-Saharan Africa,Lower middle income,ECI-AGO-2023,2023,2152988344,-2.498839752,-2119632186,0.03932366,33356158.95,84824654482,1.00128936,4389558770,72379291302,13.64410178,17.61953772,17.61953772,1270158265,21799847335,13272713527,67.04168861,10.23149025,,,8.4967,,,,1.842203351,46651516910,,,,,46196293466,16.35,,,,,,,,,,,,,,,,,685.0202378
ALB,Albania,Europe & Central Asia,Upper middle income,ECI-ALB-2023,2023,-1358205661,6.883977454,1620982551,1.115958408,262776733.1,23547179830,3.936625257,2836603905,24763044420,4.759764219,6.066049475,6.066049475,397617613.1,-4911624604,-1275078201,82.4936846,44.98143858,,0.049,1.6819,0.0029,,,2.794529587,9585649421,19817475497,11047903872,8769571625,,5599604657,3.65,,,,,,,,,,,,8.947,9.694,12.824,10.669,25.419,100.645
AND,Andorra,Europe & Central Asia,High income,ECI-AND-2023,2023,,,,,,3785067332,2.58355481,,,,6.295600824,6.295600824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.924709623
ARE,United Arab Emirates,Middle East & North Africa,High income,ECI-ARE-2023,2023,,4.342888221,22328110000,4.342888221,22328110000,514130000000,3.618706535,63850894557,437580000000,1.626708372,-1.304200162,-1.304200162,,,,202.332536,,,,43.3677,,,,25.54650525,,,,,,,,,,,,,,,,,,,2.659,1.232,2.786,2.151,6.356,3.6725
ARG,Argentina,Latin America & Caribbean,Upper middle income,ECI-ARG-2023,2023,-20904799580,3.69401868,23866141440,0.458358641,2961341860,646075000000,-1.611001621,105875000000,657111000000,,135.3688763,135.3688763,3121892360,-2936850511,-9352747404,26.64051213,5.98026712,,2.4059,47.4454,0.012,,,8.030246824,164000000000,,,,,83278986031,7.24,,,,,,,,,,,,2.494,7.187,7.421,6.139,17.886,296.2580417
ARM,Armenia,Europe & Central Asia,Upper middle income,ECI-ARM-2023,2023,-526510467.3,2.409578645,580365078.7,0.22359533,53854611.31,24085749592,8.3,3407309672,24280957756,1.980418776,2.673003549,2.673003549,1329532625,-2514652434,-193722388.3,119.714643,37.61575632,,0.0452,2.4744,,,,3.62309004,12062333251,,,,,6351738599,11.84,,,,,,,,,,,,,,,,,392.4763022
ASM,American Samoa,East Asia & Pacific,High income,ECI-ASM-2023,2023,,,,,,,,,,,,,,,,,,,,,,,,0.17886829,,,,,,,,,,,,,,,,,,,,,,,,1
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,ECI-ATG-2023,2023,-293118844.8,14.78529943,300597732.2,0.367859028,7478887.407,2033085185,3.862012187,,,5.067138654,4.805475773,4.805475773,,-651362851.1,-83379451.48,,82.50374384,,,0.1136,,,,4.164344807,,,,,,,,,,,,,,,,,,,,,,,,2.7
AUS,Australia,East Asia & Pacific,High income,ECI-AUS-2023,2023,-17885795878,1.880806481,32501414007,0.84578318,14615618129,1728060000000,3.4419922,368316000000,1652480000000,5.597014925,6.51199895,6.51199895,32340013665,83419785234,67997427735,49.22518406,9.596557599,,3.4267,95.6792,0.0158,,,21.45020126,,2210000000000,1630000000000,584000000000,,,,,,,,,,,,,,,2.373,8.035,3.67,3.668,8.319,1.505191066
AUT,Austria,Europe & Central Asia,High income,ECI-AUT-2023,2023,5445120679,0.571627955,2924935669,1.635782369,8370056348,511685000000,-0.954962367,104718000000,502015000000,7.81413417,6.647653416,6.647653416,4409985264,4319404033,10221561709,116.8139194,34.1417217,,0.0399,21.1419,0.0008,,,7.985480566,,,,,,,,,,,,,,,,,,,3.6,12.658,4.596,5.264,10.946,0.924839558
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,ECI-AZE-2023,2023,1622389000,0.349432505,252836000,2.591658503,1875225000,72356176471,1.123974327,10139235294,61885235294,8.785430498,-9.20663945,-9.20663945,3561670588,12805563000,10470915000,83.61935035,20.59966229,,0.1408,8.3202,0.0024,,,6.160188963,13210640306,,,,,12574182882,2.66,,,,100,100,,,,,,,,,,,,1.7
BDI,Burundi,Sub-Saharan Africa,Low income,ECI-BDI-2023,2023,-32957887.85,1.291669013,34127983.54,0.044285545,1170095.685,2642161669,2.700000597,805999580.4,3145928916,26.94148358,11.37603149,11.37603149,147289296.7,-808618247.8,-1054714258,29.59324787,18.31908655,,,0.4063,,,,0.51492938,607085974.9,,,,,858402110.8,1.68,,,,,,,,,,,,,,,,,2574.051749
BEL,Belgium,Europe & Central Asia,High income,ECI-BEL-2023,2023,-10576848063,-0.430551199,-2776119887,-2.0709251,-13352967950,644783000000,1.251700632,153277000000,648649000000,4.049010776,4.508102849,4.508102849,7629396589,3023506866,-3916912630,168.9276037,48.40118955,,0.0296,21.9509,0.0023,,,9.024041981,,,,,,,,,,,,,,,,,,,2.948,12.656,6.249,5.528,16.083,0.924839558
BEN,Benin,Sub-Saharan Africa,Lower middle income,ECI-BEN-2023,2023,,0.248809707,48955920,0.248809707,48955920,19676049076,6.352821609,1870050530,21439722956,2.731024653,3.385464352,3.385464352,140776011.4,,,51.35046501,,,,4.2779,0.0004,,,1.183435601,9458471906,,,,,6792193667,4.87,,,,,,,,,,,,,,,,,606.6549823
BFA,Burkina Faso,Sub-Saharan Africa,Low income,ECI-BFA-2023,2023,,0.025458142,5174270,0.025458142,5174270,20324617845,2.960181474,4059856880,21767204362,0.742910429,1.998047524,1.998047524,826357641.2,,,64.82232112,,,,2.7255,,,,1.49644468,9765043223,,,,,3976881955,4.41,,,,,,,,,,,,10.75,7.238,7.66,5.348,8.581,606.5697502
BGD,Bangladesh,South Asia,Lower middle income,ECI-BGD-2023,2023,-1387217991,0.316668222,1385155352,-0.000471552,-2062639.476,437415000000,5.77511237,24780320479,460125000000,9.883503038,6.89712404,6.89712404,4207971901,-9652131723,-14287605601,30.98297141,3.976086471,,2.8182,11.649,,,,1.641018484,83284235879,204000000000,167000000000,36800888169,,63056265348,1.64,,,,,,,,,,,,,,,,,106.3094843
BGR,Bulgaria,Europe & Central Asia,High income,ECI-BGR-2023,2023,-2852510000,3.962897186,4058310000,1.177451064,1205800000,102408000000,1.886814839,18864101470,98206367732,9.442841401,7.984199243,7.984199243,1918445358,-4242940000,4219940000,119.6681203,23.5964689,,0.7915,9.4078,0.0013,,,8.279144528,,,,,,,,,,,,,,,,,,,1.872,12.485,4.136,4.319,12.092,1.808966667
BHR,Bahrain,Middle East & North Africa,High income,ECI-BHR-2023,2023,-5726595745,14.8429848,6839627660,2.415440814,1113031915,46079867021,2.980792767,6750398936,38109654255,0.074620678,-4.143751658,-4.143751658,1383776596,4502659574,7970212766,157.8318865,59.88099986,,,3.5207,,,,40.4131361,,,,,,,,,,,98,99,,,,,,,,,,,,0.376
BHS,"Bahamas, The",Latin America & Caribbean,High income,ECI-BHS-2023,2023,-97100072.13,2.248885553,322456455.1,1.571687296,225356382.9,14338500000,2.639055981,1858000000,14496500000,3.05291579,6.344420145,6.344420145,,-3213293991,-267677227,82.70488545,51.20252444,,,0.5914,0.001,,,5.132936111,,,,,,,,,,,,,,,,,,,3.101,16.86,9.774,8.643,17.888,1
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,ECI-BIH-2023,2023,-934281757.1,3.76226208,1035178227,0.366699139,100896470.3,27514782476,2.211124472,5277365779,31394727402,6.105901128,6.762704356,6.762704356,216702019.5,-5673713857,-3243798922,99.89836847,17.00727495,,0.003,4.4,0.0038,,,9.229929738,10189244733,,,,2.11,5601541884,6.13,,,,,,,,,,,,8.598,13.894,11.003,10.668,27.315,1.8092028
BLR,Belarus,Europe & Central Asia,Upper middle income,ECI-BLR-2023,2023,-1927205028,2.772307663,1992107728,0.090321547,64902700,71857382746,3.886242145,12974578948,69622691074,5.000599031,7.368230536,7.368230536,1403134160,-2527700000,249426569.1,132.9987973,20.28389205,,0.4522,9.682,0.0123,,,9.182268869,24952537507,,,,5.39,18095792547,11.46,,,,,,,,,,,,2.204,10.547,4,3.461,10.587,3.00735
BLZ,Belize,Latin America & Caribbean,Upper middle income,ECI-BLZ-2023,2023,-13782458.67,0.52293169,16037530.53,0.073530556,2255071.86,3066850000,1.149016821,482906700,2970938350,4.389840175,6.509701614,6.509701614,26451512.5,-777354049.5,-37145635.63,106.5317557,44.20799806,,,0.095,,,,2.238595399,1440022704,,,,,1287396580,3.86,,,,,,,,,,,,,,,,,2
BMU,Bermuda,North America,High income,ECI-BMU-2023,2023,,0.263826965,21480000,0.263826965,21480000,8141700000,-0.094823593,975400000,5836200000,,4.106392454,4.106392454,,,,77.54400187,,,,0.1232,,,,5.854895051,,,,,,,,,,,,,,,,,,,,,,,,1
